,Program,Research Exp,TOEFL Score,greV,greQ,greA,Topper CGPA,CGPA,UG label,ranking
6594,0,0,104,153,163,3,8.6,8,88,156
6595,0,0,0,640,720,4,9,7.3,88,156
6596,0,0,106,420,800,3,8.6,7.2,88,90
6597,0,0,0,148,160,3.5,8.5,6.9,88,129
6598,0,0,112,156,162,4,8.6,7.15,88,129
6599,0,0,0,150,153,4,8.6,7.2,88,301
6600,0,0,106,420,800,3,8.6,7.2,88,301
6601,0,0,0,148,160,3.5,8.5,6.9,88,301
6602,0,0,116,155,167,3.5,8.2,7.5,88,65
6603,0,0,92,150,152,3,8,6.777,88,501
6604,0,0,105,153,159,3,8.1,7.4,88,501
6605,0,0,0,150,153,4,8.6,7.2,88,501
6606,0,0,112,156,162,4,8.6,7.15,88,501
6607,0,0,0,148,160,3.5,8.5,6.9,88,501
6608,0,0,106,145,169,4,9,7.732,88,68
6609,0,0,110,159,167,5.5,8.7,8.61,88,56
6610,0,0,102,570,800,4,9,7.72,88,56
6611,0,0,104,153,163,3,8.6,8,88,56
6612,0,0,106,145,169,4,9,7.732,88,327
6613,0,0,0,148,160,3.5,8.5,6.9,88,327
6614,0,0,100,142,168,3,9.75,7.775,132,48
6615,0,0,100,142,168,3,9.75,7.775,132,129
6616,0,0,105,500,710,3,9,7,133,15
6617,0,0,104,510,730,3.5,7.8,6.1,134,581
6618,0,0,104,510,730,3.5,7.8,6.1,134,189
6619,0,0,104,510,730,3.5,7.8,6.1,134,262
6620,0,0,104,510,730,3.5,7.8,6.1,134,231
6621,0,0,98,145,170,3,9.5,8.44,89,231
6622,0,0,0,148,160,3,8.1,7.4,90,215
6623,0,0,109,161,164,4,9.37,9.03,90,215
6624,0,0,101,152,165,3,9.2,8.57,90,215
6625,0,0,0,148,160,3,8.1,7.4,90,801
6626,0,0,109,161,164,4,9.37,9.03,90,72
6627,0,0,0,148,160,3,8.1,7.4,90,39
6628,0,0,109,161,164,4,9.37,9.03,90,285
6629,0,0,112,580,770,3,9.3,8.23,90,285
6630,0,0,101,152,165,3,9.2,8.57,90,344
6631,0,0,0,148,160,3,8.1,7.4,90,344
6632,0,0,101,152,165,3,9.2,8.57,90,111
6633,0,0,101,152,165,3,9.2,8.57,90,262
6634,0,0,0,148,160,3,8.1,7.4,90,340
6635,0,0,101,152,165,3,9.2,8.57,90,359
6636,0,0,115,151,156,4,9,8.39,90,581
6637,0,0,0,148,160,3,8.1,7.4,90,581
6638,0,0,112,580,770,3,9.3,8.23,90,189
6639,0,0,109,161,164,4,9.37,9.03,90,189
6640,0,0,115,151,156,4,9,8.39,90,561
6641,0,0,115,151,156,4,9,8.39,90,167
6642,0,0,0,148,160,3,8.1,7.4,90,231
6643,0,0,115,151,156,4,9,8.39,90,231
6644,0,0,115,151,156,4,9,8.39,90,136
6645,0,0,101,152,165,3,9.2,8.57,90,129
6646,0,0,109,161,164,4,9.37,9.03,90,65
